,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h
222, , ,Mouth open, ,1,0,-42
223, , , , ,0,-7,-46
224, , ,Mouth open, ,1,-8,24
225, , , , ,0,-16,30
226, , , ,58.87516140937805,0,-14,26
227, , , , ,0,-19,26
228, , , , ,0,-14,24
229, , , ,60.10143756866455,2,-12,23
230, , , , ,2,-21,26
231, , , , ,1,-23,24
232, , , , ,0,-23,22
233, , , , ,1,-18,26
234, , , , ,1,-16,25
235, , , , ,1,-15,25
236, , , , ,1,-15,30
237, , , , ,1,-16,26
238, , ,Mouth open,53.13291549682617,1,-14,30
239, , ,Mouth open, ,1,2,-37
240, , ,Mouth open,54.9954891204834,1,-4,21
241, , ,Mouth open, ,1,-20,29
242, , ,Mouth open,48.60754311084747,1,0,-38
243, , ,Mouth open, ,1,-2,-32
244, , ,Mouth open, ,0,10,-12
245, ,Head left,Mouth open, ,0,-4,-56
246, , ,Mouth open, ,0,10,-17
247, , ,Mouth open, ,0,6,-46
248, , ,Mouth open, ,0,-19,15
249, , , , ,0,11,-36
250, , ,Mouth open, ,0,-15,22
251,Head up, , , ,0,-56,8
252, , ,Mouth open, ,0,9,-19
253, , , ,51.43229961395264,0,20,-30
254, , ,Mouth open, ,0,-13,32
255, , , , ,0,10,-46
256, , ,Mouth open, ,0,-22,16
257, , ,Mouth open, ,0,7,-47
258, , ,Mouth open, ,0,6,-18
259, , , , ,0,16,-41
260, , ,Mouth open, ,0,-18,22
261, , , , ,0,8,-46
262, , ,Mouth open, ,0,-14,28
263, , , , ,0,10,-46
264, , ,Mouth open, ,0,7,-30
265, , ,Mouth open, ,0,6,-30
266, , ,Mouth open, ,0,12,-26
267, , ,Mouth open, ,0,10,-23
268, , ,Mouth open, ,0,15,-24
269, , ,Mouth open, ,0,27,-14
270, , ,Mouth open, ,0,11,-6
271, , ,Mouth open, ,0,16,-2
272, ,Head left, , ,0,-3,-50
273, , , , ,1,17,-21
274, , ,Mouth open, ,0,9,-36
275, , ,Mouth open, ,0,6,-44
276, , ,Mouth open, ,0,3,-40
277, , , , ,1,-20,29
278, , , , ,1,-19,31
279, , , , ,1,4,-42
280, , , , ,2,6,-42
281, , , , ,2,7,-41
282, , , , ,1,7,-40
283, , , , ,1,-11,34
284, , , , ,1,-17,31
285, , ,Mouth open, ,1,9,-32
286, , ,Mouth open, ,1,7,-31
287, , ,Mouth open, ,1,6,-31
288, , ,Mouth open, ,1,-23,23
289, , ,Mouth open, ,1,9,-36
290, , ,Mouth open, ,2,-7,-47
291, , ,Mouth open, ,0,-11,35
292, , ,Mouth open, ,0,-21,16
293, , ,Mouth open, ,0,-17,25
294, , , , ,1,-15,34
295, , , , ,1,-17,36
296, , , , ,2,-12,36
297, , , , ,1,-15,38
298, , ,Mouth open, ,1,-16,37
299, , , , ,1,-15,32
300, , , , ,1,-15,33
301, , , , ,1,-16,33
302, , , , ,1,40,-20
303, , , , ,1,44,-17
304, , , , ,1,17,-38
305, , , , ,1,13,20
306, , , , ,1,-8,45
307, , , , ,1,-12,37
308, , , , ,1,-14,34
309, , , ,63.692617416381836,1,-13,36
310, , , , ,1,-12,31
311, , ,Mouth open,46.23533487319946,1,10,-30
312, , ,Mouth open, ,1,7,-29
313, , ,Mouth open,74.04696941375732,1,13,-24
314, , ,Mouth open, ,1,14,-27
315, , ,Mouth open,76.57182216644287,1,15,-25
316, , ,Mouth open, ,1,9,-24
317,Head down, ,Mouth open,46.68971300125122,0,49,-13
318, , ,Mouth open,77.0034670829773,0,18,-36
319, , ,Mouth open, ,1,7,-27
320, ,Head left,Mouth open, ,1,4,-49
321, , ,Mouth open,50.53091049194336,1,4,-31
322, , ,Mouth open,65.0277316570282,2,14,-35
323, , ,Mouth open, ,1,6,-27
324, , ,Mouth open, ,1,21,-33
325, , ,Mouth open, ,2,10,-23
326, ,Head right,Mouth open, ,1,-4,50
327, ,Head right, , ,1,11,49
328, , ,Mouth open, ,1,-10,39
329, , , , ,1,9,-32
330, , ,Mouth open, ,1,19,34
331, ,Head right,Mouth open, ,1,-5,54
332, , ,Mouth open,51.898425817489624,1,22,-11
333,Head down, ,Mouth open, ,0,76,2
334,Head down, ,Mouth open, ,1,66,1
335,Head down, ,Mouth open, ,0,51,0
336,Head down, ,Mouth open, ,0,52,0
337, , ,Mouth open, ,1,6,-26
338, , ,Mouth open, ,1,6,-36
339, , ,Mouth open, ,1,9,-21
340, , , , ,1,11,-28
341, , ,Mouth open, ,1,15,-23
342, , ,Mouth open, ,0,15,-24
343, , ,Mouth open, ,1,14,-25
344, , , , ,2,15,-25
345, , ,Mouth open, ,2,1,-36
346, , , , ,2,-35,15
347, , ,Mouth open, ,1,14,-24
348, , ,Mouth open, ,1,17,-21
349, , ,Mouth open, ,0,1,-34
350, , , , ,0,-15,25
351, , ,Mouth open, ,1,-6,32
352, , , , ,1,4,-47
353, , , , ,1,-4,31
354, , , , ,0,18,-35
355, , ,Mouth open, ,0,8,-29
356, , ,Mouth open, ,0,12,-24
357,Head up, ,Mouth open, ,0,-88,0
358, , ,Mouth open, ,1,33,-12
359, , ,Mouth open, ,1,9,-32
360, , ,Mouth open, ,1,9,-31
361, , ,Mouth open, ,0,-1,39
362, , ,Mouth open, ,0,15,-23
363, , ,Mouth open, ,0,12,-24
364, , ,Mouth open, ,0,13,-23
365, , ,Mouth open, ,1,13,-24
366, , ,Mouth open, ,1,25,-17
367, , ,Mouth open, ,0,20,-20
368, , ,Mouth open, ,2,9,-24
369, , ,Mouth open, ,1,9,-26
370, , ,Mouth open, ,1,10,-29
371, , ,Mouth open, ,1,9,-28
372, , ,Mouth open, ,1,7,-30
373,Head up, ,Mouth open, ,1,-86,-1
374, , , , ,1,20,-30
375, , ,Mouth open, ,1,28,-24
376, , , , ,1,27,-28
377, , ,Mouth open, ,1,15,-17
378, , , , ,1,20,-31
379, , ,Mouth open, ,1,25,-21
380, , , , ,1,14,-35
381, , ,Mouth open,49.10041689872742,1,-3,6
382, , , , ,1,10,-35
383, , ,Mouth open, ,2,40,-2
384,Head up, , , ,2,-48,17
385, , ,Mouth open, ,1,17,-14
386, , ,Mouth open,49.0753710269928,1,23,-22
387, , ,Mouth open, ,1,9,-21
388, , ,Mouth open,59.04596447944641,1,9,-24
389, , ,Mouth open, ,1,10,-24
390, , ,Mouth open,49.078768491744995,1,9,-26
391, , , , ,1,13,-25
392, , ,Mouth open,45.21825313568115,1,13,-25
393, , ,Mouth open, ,1,14,-20
394, , ,Mouth open, ,1,6,-22
395, , ,Mouth open,48.0994313955307,1,5,-34
396, , ,Mouth open, ,1,13,-19
397, , ,Mouth open,46.21528089046478,1,9,-25
398, , ,Mouth open, ,1,9,-26
399, , ,Mouth open, ,1,9,-25
400, , ,Mouth open,50.71679353713989,1,9,-24
401, , ,Mouth open, ,1,9,-24
402, , ,Mouth open, ,1,7,-23
403, , , , ,1,45,-1
404, , , , ,1,-6,-44
405, , , , ,1,4,-42
406, , , ,51.53440833091736,1,-3,-42
407, , , , ,1,2,-42
408, , , ,51.66178345680237,1,2,-40
409, , , , ,1,4,-41
410, , , , ,1,0,-43
411, , , , ,1,3,-42
412, , ,Mouth open, ,1,8,-33
413, , , , ,1,1,-37
414, , , , ,1,-25,-39
415, , , , ,1,-29,-34
416, , , , ,1,-25,-35
417, , , , ,1,-29,-33
418, , , , ,1,-35,-29
419, , , , ,1,-24,-37
420, , , , ,1,-11,-32
421, , , , ,1,-10,-33
422, , , , ,1,-10,-37
423, , , , ,1,-28,-36
424, , , , ,1,-17,36
425, , , , ,1,-11,44
426, , ,Mouth open, ,1,-25,19
427, , ,Mouth open,51.606881618499756,1,13,-25
428, , ,Mouth open, ,1,15,-26
429, , ,Mouth open, ,1,-31,-11
430, , ,Mouth open, ,1,5,-31
431, , , , ,1,13,-33
432, , ,Mouth open, ,1,-34,11
433, , ,Mouth open, ,1,-30,9
434, , , , ,1,-33,17
435, , ,Mouth open, ,1,-27,19
436, ,Head right,Mouth open, ,1,0,53
437, , , , ,1,-25,14
438, , ,Mouth open, ,1,-3,-42
439, , ,Mouth open, ,1,-27,12
440, ,Head right,Mouth open, ,1,-3,50
441, , ,Mouth open, ,1,-33,10
442, , ,Mouth open, ,1,4,3
443, , ,Mouth open, ,1,-18,20
444, , , , ,1,-22,26
445,Head up, , , ,2,-62,10
446, , , , ,1,-17,28
447, , ,Mouth open, ,1,-3,-41
448, , ,Mouth open, ,1,-16,22
449, , ,Mouth open, ,1,-10,-23
