,no_faces,Angle1,Angle2,cnt_inner,cnt_outer,Phone_detected
544,1,52,-14,0,0,0
545,1,47,-16,0,0,0
546,1,50,-14,0,0,0
547,1,45,-16,0,0,0
548,1,46,-16,0,0,0
549,1,50,-14,0,0,0
550,1,58,-12,0,0,0
551,1,59,-12,0,0,0
552,1,49,-15,0,0,0
553,1,65,-7,0,0,0
554,1,67,-8,0,0,0
555,1,68,-5,0,0,0
556,1,56,-10,0,0,0
557,1,58,-10,0,0,0
558,1,43,-15,0,0,0
559,1,55,-11,0,0,0
560,1,53,-12,0,0,0
561,1,74,-5,0,0,0
562,1,69,-7,0,0,0
563,1,64,-8,0,0,0
564,1,58,-11,0,0,0
565,1,53,-14,0,0,0
566,1,50,-14,0,0,0
567,1,43,-18,0,0,0
568,1,41,-18,0,0,0
569,1,34,-21,0,0,0
570,1,31,-25,0,0,0
571,1,29,-25,0,0,0
572,1,39,-20,0,0,0
573,1,43,-16,0,0,0
574,1,35,-19,0,0,0
575,1,33,-19,0,0,0
576,1,27,-23,0,0,0
577,1,24,-24,0,0,0
578,1,24,-24,0,0,0
579,1,24,-22,0,0,0
580,1,20,-26,0,0,0
581,1,26,-21,0,0,0
582,1,27,-23,0,0,0
583,1,-17,28,0,0,0
584,1,-26,25,0,0,0
585,1,-40,17,0,0,0
586,1,-20,28,0,0,0
587,1,55,-9,0,0,0
588,1,29,-20,0,0,0
589,1,65,-5,0,0,0
590,1,-52,8,0,0,0
591,1,-14,30,0,0,0
592,1,19,-24,0,0,0
593,1,-38,13,0,0,0
594,1,-23,25,0,0,0
595,1,21,-23,0,0,0
596,1,25,-20,0,0,0
597,1,-51,7,0,0,0
598,1,-84,0,0,0,0
599,1,48,-12,0,0,0
600,1,-77,3,0,0,0
601,1,51,-11,0,0,0
602,1,42,-15,0,0,0
603,1,47,-13,0,0,0
604,1,46,-13,0,0,0
605,1,44,-14,0,0,0
606,1,53,-11,0,0,0
607,1,51,-12,0,0,0
608,1,50,-12,0,0,0
609,1,54,-11,0,0,0
610,1,53,-11,0,0,0
611,1,50,-12,0,0,0
612,1,61,-8,0,0,0
613,1,65,-6,0,0,0
614,1,78,-3,0,0,0
615,1,65,-7,0,0,0
616,1,46,-13,0,0,0
617,1,52,-11,0,0,0
618,1,70,-6,0,0,0
619,1,87,-2,0,0,0
620,1,89,-1,0,0,0
621,1,77,-4,0,0,0
622,1,59,-12,0,0,0
623,1,57,-12,0,0,0
624,1,55,-13,0,0,0
625,1,63,-9,0,0,0
626,1,57,-11,0,0,0
627,1,69,-7,0,0,0
628,1,-53,10,0,0,0
629,1,-28,23,0,0,0
630,1,-32,23,0,0,0
631,1,-32,23,0,0,0
632,1,-32,24,0,0,0
633,1,-30,26,0,0,0
634,1,-31,25,0,0,0
635,1,-32,24,0,0,0
636,1,-32,22,0,0,0
637,1,-33,21,0,0,0
638,1,-34,20,0,0,0
639,1,-37,18,0,0,0
640,1,-38,17,0,0,0
641,1,32,-20,0,0,0
642,1,39,-18,0,0,0
643,1,37,-18,0,0,0
644,1,26,-25,0,0,0
645,1,25,-26,1,1,0
646,1,19,-32,0,0,0
647,1,19,-34,0,0,0
648,1,16,-36,0,2,0
649,1,21,-34,0,0,0
650,1,15,-40,0,3,0
651,1,27,-32,0,0,0
652,1,18,-35,0,0,0
653,1,36,-20,1,0,0
654,1,40,-19,0,0,0
655,1,44,-16,0,0,0
656,1,39,-18,0,0,0
657,1,44,-16,0,0,0
658,1,36,-19,0,0,0
659,1,32,-21,0,0,0
660,1,28,-22,0,0,0
661,1,30,-22,0,0,0
662,1,30,-22,0,0,0
663,1,39,-18,0,0,0
664,1,35,-20,0,0,0
665,1,39,-18,0,0,0
666,1,36,-19,0,0,0
667,1,41,-16,0,0,46.76827192
668,1,37,-18,0,0,53.58539224
669,1,34,-19,0,0,46.22465372
670,1,39,-17,0,0,54.06087637
671,1,38,-17,0,0,45.07265985
672,1,49,-14,0,0,48.05651009
673,1,50,-13,0,0,45.45507729
674,1,46,-14,0,0,45.23263276
675,1,47,-15,0,0,51.57109499
676,1,45,-15,0,0,49.04356897
677,1,45,-15,0,0,0
678,1,35,-18,0,0,0
679,1,41,-15,0,0,0
680,1,37,-17,0,0,0
681,1,41,-16,0,0,0
682,1,43,-16,0,0,0
683,1,56,-12,0,1,0
684,1,70,-7,0,0,0
685,1,71,-6,0,0,0
686,1,82,-3,0,0,0
687,1,71,-7,0,0,0
688,1,75,-5,0,0,0
689,1,76,-5,0,0,0
690,1,78,-4,0,0,0
691,1,77,-5,0,0,0
692,1,83,-4,0,0,0
693,1,82,-3,0,0,0
694,1,83,-4,0,0,0
695,1,62,-11,0,0,0
696,1,58,-12,0,0,0
697,1,63,-10,0,0,0
698,1,61,-10,0,0,0
699,1,59,-11,0,0,0
700,1,58,-11,0,0,0
701,1,60,-10,0,0,0
702,1,62,-10,0,0,0
703,1,60,-10,0,0,0
704,1,55,-11,0,0,0
705,1,53,-7,0,0,0
706,1,-88,1,0,0,0
707,1,59,-6,0,0,0
708,1,86,2,0,0,0
709,1,-66,7,0,0,0
710,1,-76,4,0,0,0
711,1,-45,15,0,0,0
712,1,-55,11,0,0,0
713,1,-52,12,0,0,0
714,1,-35,20,0,0,0
715,1,-41,16,0,0,0
716,1,-43,16,0,0,0
717,1,-43,16,0,0,0
718,1,-17,30,0,0,0
719,1,23,-23,0,0,0
720,1,31,-21,0,0,0
721,1,36,-18,0,0,0
722,1,34,-19,0,0,0
723,1,36,-19,0,0,0
724,1,27,-24,3,3,0
725,1,31,-20,0,0,0
726,1,32,-19,0,0,0
727,1,34,-19,0,0,0
728,1,28,-22,0,0,0
729,1,25,-23,0,0,0
730,1,33,-21,0,0,0
731,1,22,-24,0,0,0
732,1,17,-27,0,0,0
733,1,-24,22,0,0,0
734,1,13,-28,0,0,0
735,1,-22,24,0,0,0
736,1,-22,23,0,0,0
737,1,-26,22,0,0,0
738,1,-48,11,0,0,0
739,1,-27,22,0,0,0
740,1,-24,23,0,0,0
741,1,41,-16,0,0,0
742,1,32,-19,1,2,0
743,1,38,-16,0,0,0
744,1,33,-16,4,3,0
745,1,30,-19,0,0,0
746,1,32,-18,0,0,0
747,1,20,-21,0,0,0
748,1,25,-22,0,0,0
749,1,24,-22,0,0,0
750,1,24,-23,0,0,0
751,1,22,-25,5,3,0
752,1,23,-25,5,3,0
753,1,20,-27,5,3,0
754,1,23,-25,4,3,0
755,1,25,-21,0,0,0
756,1,27,-19,0,0,0
