,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h,target
316,Normal,Normal,Mouth close,0,0,-17,40,1
317,Normal,Normal,Mouth close,0,1,-16,40,0
318,Normal,Normal,Mouth close,0,0,-18,38,1
319,Normal,Normal,Mouth close,0,0,-17,39,1
320,Normal,Normal,Mouth close,0,0,-19,38,1
321,Normal,Normal,Mouth close,0,0,-20,39,1
322,Normal,Normal,Mouth close,0,0,-19,44,1
323,Normal,Normal,Mouth close,0,0,-20,43,1
324,Normal,Normal,Mouth close,0,0,-17,42,1
325,Normal,Normal,Mouth close,0,1,-16,40,0
326,Normal,Head right,Mouth close,0,1,-11,49,0
327,Normal,Normal,Mouth close,0,2,2,47,1
328,Normal,Normal,Mouth close,0,3,9,23,1
329,Normal,Normal,Mouth close,0,2,5,-11,1
330,Normal,Normal,Mouth close,0,3,12,-36,1
331,Normal,Normal,Mouth close,0,1,11,-45,0
332,Normal,Normal,Mouth close,0,1,12,-38,0
333,Normal,Normal,Mouth close,0,1,30,-4,0
334,Normal,Normal,Mouth close,0,2,37,2,1
335,Normal,Normal,Mouth close,0,1,4,6,0
336,Normal,Normal,Mouth close,0,2,23,8,1
337,Normal,Normal,Mouth close,0,2,17,8,1
338,Normal,Normal,Mouth close,0,0,-13,42,1
339,Normal,Head right,Mouth close,0,1,-7,49,0
340,Normal,Normal,Mouth close,0,3,-9,47,1
341,Normal,Head right,Mouth close,0,1,-7,49,0
342,Normal,Head right,Mouth close,0,3,-4,53,1
343,Normal,Head right,Mouth close,0,1,-7,51,0
344,Normal,Normal,Mouth close,0,1,-11,47,0
345,Normal,Normal,Mouth close,0,1,-17,24,0
346,Normal,Normal,Mouth close,0,1,0,40,0
347,Normal,Normal,Mouth close,0,0,0,-40,0
348,Normal,Head right,Mouth close,0,1,-9,49,0
349,Normal,Normal,Mouth close,0,1,5,-32,0
350,Normal,Normal,Mouth close,0,1,-2,41,0
351,Normal,Normal,Mouth close,0,1,5,-30,0
352,Normal,Normal,Mouth close,0,1,-6,45,0
353,Normal,Normal,Mouth close,0,1,7,-29,0
354,Normal,Normal,Mouth close,0,1,-12,46,0
355,Normal,Normal,Mouth close,0,1,3,-35,0
356,Normal,Normal,Mouth close,0,1,4,-33,0
357,Normal,Normal,Mouth close,0,1,-25,37,0
358,Normal,Normal,Mouth close,0,1,3,-34,0
359,Normal,Normal,Mouth close,0,1,-26,35,0
360,Normal,Normal,Mouth close,0,1,0,-42,0
361,Normal,Normal,Mouth close,0,1,-21,38,0
362,Normal,Normal,Mouth close,0,1,-19,38,0
363,Normal,Head left,Mouth close,0,1,-4,-48,0
364,Normal,Normal,Mouth close,0,1,-13,42,0
365,Normal,Head right,Mouth close,0,1,-8,52,0
366,Normal,Normal,Mouth close,0,1,-8,46,0
367,Normal,Normal,Mouth close,0,1,9,-37,0
368,Normal,Normal,Mouth close,0,1,-15,40,0
369,Normal,Head right,Mouth close,0,1,-10,51,0
370,Normal,Normal,Mouth close,0,1,-14,43,0
371,Normal,Head right,Mouth close,0,1,-9,50,0
372,Normal,Normal,Mouth close,0,1,-13,41,0
373,Normal,Normal,Mouth close,0,1,0,23,0
374,Normal,Normal,Mouth close,0,1,9,-43,0
375,Head down,Normal,Mouth close,0,1,70,0,0
376,Normal,Normal,Mouth close,0,1,-16,40,0
377,Normal,Normal,Mouth open,0,1,4,-9,0
378,Normal,Normal,Mouth close,47.75085747,1,-20,-14,0
379,Normal,Normal,Mouth close,0,1,-15,-10,0
380,Head up,Normal,Mouth close,0,1,-57,-2,0
381,Normal,Normal,Mouth close,0,1,-24,23,0
382,Normal,Normal,Mouth open,0,1,24,-9,0
383,Normal,Normal,Mouth close,0,1,12,-29,0
384,Normal,Normal,Mouth open,0,1,20,9,0
385,Normal,Normal,Mouth open,0,1,24,-15,0
386,Normal,Normal,Mouth open,0,1,10,-9,0
387,Normal,Normal,Mouth open,0,1,8,-14,0
388,Head down,Normal,Mouth close,0,1,57,-8,0
389,Normal,Normal,Mouth close,0,1,10,-35,0
390,Normal,Normal,Mouth close,0,1,-5,42,0
391,Normal,Normal,Mouth close,0,1,28,-9,0
392,Head up,Normal,Mouth close,0,1,-73,5,0
393,Head up,Normal,Mouth close,0,1,-72,1,0
394,Head up,Normal,Mouth close,0,1,-83,3,0
395,Normal,Normal,Mouth close,0,1,0,-7,0
396,Normal,Normal,Mouth close,0,2,0,-11,1
397,Normal,Normal,Mouth open,0,1,0,-11,0
398,Normal,Normal,Mouth open,0,1,5,-13,0
399,Normal,Normal,Mouth open,0,1,5,-15,0
400,Normal,Normal,Mouth open,0,1,5,-14,0
401,Normal,Normal,Mouth open,46.22426033,1,3,-16,0
402,Normal,Normal,Mouth open,0,1,6,-11,0
403,Normal,Normal,Mouth open,0,3,6,-15,1
404,Normal,Normal,Mouth open,0,3,7,-12,1
405,Normal,Normal,Mouth close,0,3,17,-7,1
406,Normal,Normal,Mouth close,0,2,-6,-8,1
407,Normal,Normal,Mouth close,0,2,0,-11,1
408,Normal,Normal,Mouth close,0,2,5,-10,1
409,Normal,Normal,Mouth close,0,2,9,-12,1
410,Normal,Normal,Mouth close,0,2,10,-11,1
411,Normal,Normal,Mouth close,0,2,13,-10,1
412,Normal,Normal,Mouth close,0,2,2,-9,1
413,Normal,Normal,Mouth close,0,3,7,-9,1
414,Normal,Normal,Mouth close,0,3,7,-11,1
415,Normal,Normal,Mouth close,0,2,4,-9,1
416,Normal,Normal,Mouth close,0,2,10,-8,1
417,Normal,Normal,Mouth close,0,2,-13,-4,1
418,Normal,Normal,Mouth close,0,1,9,37,0
419,Normal,Head right,Mouth open,0,2,0,50,1
420,Normal,Head right,Mouth open,0,1,-3,50,1
421,Normal,Head right,Mouth open,0,1,-2,50,1
422,Normal,Head right,Mouth open,0,1,-1,50,1
423,Normal,Head right,Mouth open,0,1,-2,50,1
424,Normal,Normal,Mouth open,0,1,0,46,0
425,Normal,Normal,Mouth open,0,1,0,47,0
426,Normal,Head right,Mouth open,0,1,0,48,1
427,Normal,Head right,Mouth open,0,1,-1,48,1
428,Normal,Normal,Mouth open,0,1,0,47,0
429,Normal,Head right,Mouth open,0,1,-3,49,1
430,Normal,Head right,Mouth open,0,1,-4,49,1
431,Normal,Head right,Mouth open,0,1,0,50,1
432,Normal,Head right,Mouth open,0,1,0,51,1
433,Normal,Head right,Mouth open,0,1,-3,49,1
434,Normal,Normal,Mouth open,0,1,5,41,0
435,Normal,Normal,Mouth open,0,1,6,-31,0
436,Normal,Normal,Mouth close,0,1,8,-47,0
437,Normal,Normal,Mouth open,0,1,10,-47,0
438,Normal,Normal,Mouth close,57.5419426,1,9,-47,1
439,Normal,Normal,Mouth close,0,1,9,-47,0
440,Normal,Head left,Mouth close,50.87609887,1,8,-48,1
441,Normal,Head left,Mouth close,0,1,9,-48,0
442,Normal,Head left,Mouth close,0,1,6,-49,0
443,Normal,Head left,Mouth close,59.26548243,1,5,-52,1
444,Normal,Head left,Mouth close,0,1,6,-50,0
445,Normal,Normal,Mouth close,0,1,9,-47,0
446,Normal,Head left,Mouth close,0,1,7,-48,0
447,Normal,Head left,Mouth close,0,1,8,-48,0
448,Normal,Head left,Mouth close,0,1,6,-48,0
449,Normal,Head left,Mouth close,0,1,7,-48,0
450,Normal,Head left,Mouth close,0,1,5,-48,0
451,Normal,Normal,Mouth close,71.01591825,1,3,-33,1
452,Normal,Normal,Mouth close,54.07834649,1,-2,-21,1
453,Normal,Normal,Mouth close,0,1,9,-37,0
454,Normal,Normal,Mouth close,81.68916702,1,13,-18,1
455,Normal,Head left,Mouth close,0,1,-10,-53,0
456,Normal,Normal,Mouth close,73.64350557,1,8,-40,1
457,Normal,Normal,Mouth close,0,1,-1,-40,0
458,Normal,Head left,Mouth close,59.45163369,1,4,-48,1
459,Normal,Normal,Mouth close,0,1,6,-41,0
460,Normal,Normal,Mouth close,0,1,-10,-47,0
461,Head up,Normal,Mouth close,0,1,-63,7,0
462,Normal,Normal,Mouth close,46.75703049,1,14,-29,0
463,Normal,Normal,Mouth close,0,1,-14,-14,0
464,Normal,Normal,Mouth close,0,1,14,-15,0
465,Normal,Normal,Mouth open,0,1,-19,-18,0
466,Head up,Normal,Mouth close,0,0,-57,-7,1
467,Normal,Normal,Mouth close,0,0,-11,-7,1
468,Normal,Normal,Mouth open,0,0,0,-8,1
469,Normal,Normal,Mouth open,0,0,-10,-9,1
470,Normal,Normal,Mouth close,0,0,-13,-8,1
471,Normal,Normal,Mouth close,0,0,-36,-10,1
472,Normal,Normal,Mouth open,0,0,-21,-1,1
473,Normal,Normal,Mouth open,0,0,-15,-10,1
474,Normal,Normal,Mouth open,0,0,41,0,1
475,Normal,Normal,Mouth close,0,0,21,-17,1
476,Normal,Normal,Mouth open,0,0,-1,-5,1
477,Normal,Normal,Mouth open,0,1,7,-8,0
478,Normal,Normal,Mouth open,0,1,5,-6,0
479,Normal,Normal,Mouth close,0,1,7,-4,0
480,Normal,Normal,Mouth open,0,1,-8,-2,0
481,Normal,Normal,Mouth open,0,1,-4,-3,0
482,Normal,Normal,Mouth open,0,1,7,-3,0
483,Normal,Normal,Mouth open,0,1,14,-6,0
484,Normal,Normal,Mouth open,0,1,21,-7,0
485,Normal,Normal,Mouth open,0,1,3,-5,0
486,Normal,Normal,Mouth open,0,1,-4,0,0
487,Normal,Normal,Mouth open,0,1,8,-6,0
