,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h
359, , , , ,1,8,-28
360, , , , ,1,9,-27
361, , , , ,1,8,-28
362, , , , ,1,8,-26
363, , , , ,1,8,-28
364, , , , ,1,7,-29
365, , , , ,1,8,-26
366, , , , ,1,7,-28
367, , , , ,1,9,-28
368, , , , ,1,8,-28
369, , , , ,1,7,-26
370, , , , ,1,8,-28
371, , , , ,1,7,-26
372, , , , ,1,8,-26
373, , , , ,1,8,-25
374, , , , ,1,7,-28
375, , , , ,1,8,-28
376, , , , ,1,8,-27
377, , , , ,1,8,-27
378, , , , ,1,7,-29
379, , , , ,1,8,-27
380, , , , ,1,9,-28
381, , , , ,1,8,-29
382, , , , ,1,8,-28
383, , , , ,1,10,-26
384, , , , ,1,7,-26
385, , , , ,1,6,-26
386, , , , ,1,8,-25
387, , , , ,1,7,-27
388, , , , ,1,8,-28
389, , , , ,1,6,-27
390, , , , ,1,5,-29
391, , , , ,1,12,-22
392, , , , ,1,11,-27
393, , , , ,1,9,-27
394, , , , ,1,10,-29
395, , , , ,1,10,-25
396, , , , ,1,10,-28
397, , , , ,1,9,-28
398, , , , ,1,9,-28
399, , , , ,1,11,-26
400, , , , ,1,11,-27
401, , , , ,1,11,-30
402, , , , ,1,11,-31
403, , , , ,1,10,-31
404, , , , ,1,11,-32
405, , , , ,1,11,-28
406, , , , ,1,12,-30
407, , , , ,1,11,-31
408, , , , ,1,11,-31
409, , , , ,1,11,-30
410, , , , ,1,11,-29
411, , , , ,1,11,-30
412, , , , ,1,12,-30
413, , , , ,1,11,-30
414, , , , ,1,11,-29
415, , , , ,1,12,-29
416, , , , ,1,11,-31
417, , , , ,1,11,-31
418, , , , ,1,11,-28
419, , , , ,1,10,-27
420, , , , ,1,11,-27
421, , , , ,1,12,-28
422, , , , ,1,9,-29
423, , , , ,1,9,-29
424, , , , ,1,9,-25
425, , , , ,1,8,-27
426, , , , ,1,6,-26
427, , , , ,1,5,-31
428, , , , ,1,6,-28
429, , , , ,1,6,-30
430, , , , ,1,6,-29
431, , , , ,1,5,-26
432, , , , ,1,5,-28
433, , , , ,1,6,-31
434, , , , ,1,6,-30
435, , , , ,1,6,-29
436, , , , ,1,5,-28
437, , , , ,1,6,-28
438, , , , ,1,6,-31
439, , , , ,1,6,-28
440, , , , ,1,6,-31
441, , , , ,1,6,-28
442, , , , ,1,6,-28
443, , , , ,1,5,-28
444, , , , ,1,6,-30
445, , , , ,1,6,-28
446, , , , ,1,5,-30
447, , , , ,1,6,-29
448, , , , ,1,5,-30
449, , , , ,1,6,-29
450, , , , ,1,6,-31
451, , , , ,1,6,-31
452, , , , ,1,5,-31
453, , , , ,1,5,-32
454, , , , ,1,8,-29
455, , , , ,1,11,-24
456, , , , ,1,7,-30
457, , , , ,1,7,-31
458, , , , ,1,5,-29
459, , , , ,1,6,-29
460, , , , ,1,5,-26
461, , , , ,1,6,-22
462, , , , ,1,10,-27
463, , , , ,1,9,-24
464, , , , ,1,8,-23
465, , , , ,1,8,-23
466, , , , ,1,7,-22
467, , ,Mouth open, ,1,7,-23
468, , , , ,1,20,-15
469, , , , ,1,10,-24
470, , , , ,1,9,-24
471, , , , ,1,10,-23
472, , , , ,1,10,-21
473, , , , ,1,10,-23
474, , , , ,1,11,-24
475, , , , ,1,13,-24
476, , , , ,1,13,-25
477, , , , ,1,13,-25
478, , , , ,1,13,-25
479, , , , ,1,12,-26
480, , , , ,1,12,-26
481, , , , ,1,12,-27
482, , , , ,1,12,-27
483, , , , ,1,10,-25
484, , , , ,1,10,-25
485, , , , ,1,10,-25
486, , , , ,1,10,-26
487, , , , ,1,10,-26
488, , , , ,1,10,-27
489, , , , ,1,9,-25
490, , , , ,1,9,-25
491, , , , ,1,10,-26
492, , , , ,1,10,-25
493, , , , ,1,10,-25
494, , , , ,1,10,-27
495, , , , ,1,8,-28
496, , , , ,1,9,-28
497, , , , ,1,8,-28
498, , , , ,1,9,-26
499, , , , ,1,7,-30
500, , , , ,1,7,-27
501, , , , ,1,7,-28
502, , , , ,1,7,-30
503, , , , ,1,6,-27
504, , , , ,1,7,-27
505, , , , ,1,7,-28
506, , , , ,1,6,-28
507, , , , ,1,7,-29
508, , , , ,1,8,-29
509, , , , ,1,13,-28
510, , , , ,1,12,-28
511, , , , ,1,11,-27
512, , , , ,1,11,-28
513, , , , ,1,10,-27
514, , , , ,1,11,-26
515, , , , ,1,11,-24
516, , , , ,1,11,-26
517, , , , ,1,11,-25
518, , , , ,1,11,-26
519, , , , ,1,11,-27
520, , , , ,1,10,-29
521, , , , ,1,10,-30
522, , , , ,1,10,-31
523, , , , ,1,10,-31
524, , , , ,1,10,-30
525, , , , ,1,10,-29
526, , , , ,1,10,-31
527, , , , ,1,12,-29
528, , , , ,1,11,-30
529, , , , ,1,12,-30
530, , , , ,1,12,-29
531, , , , ,1,11,-28
532, , , , ,1,11,-30
533, , , , ,1,12,-30
534, , , , ,1,12,-26
535, , , , ,1,13,-27
536, , , , ,1,13,-28
537, , , , ,1,12,-27
538, , , , ,1,12,-28
539, , , , ,1,13,-28
540, , , , ,1,12,-27
541, , , , ,1,13,-26
542, , , , ,1,12,-27
543, , , , ,1,13,-27
544, , , , ,1,11,-27
545, , , , ,1,12,-26
546, , , , ,1,12,-27
547, , , , ,1,13,-27
548, , , , ,1,13,-26
549, , , , ,1,13,-26
550, , , , ,1,12,-27
551, , , , ,1,12,-27
552, , , , ,1,12,-27
553, , , , ,1,8,-29
554, , , , ,1,12,-26
555, , , , ,1,13,-27
556, , , , ,1,9,-27
557, , , , ,1,7,-27
558, , , , ,1,11,-25
559, , , , ,1,11,-28
560, , , , ,1,11,-24
561, , , , ,1,12,-26
562, , , , ,1,11,-26
563, , , , ,1,12,-26
564, , , , ,1,11,-26
565, , , , ,1,12,-26
566, , , , ,1,11,-26
567, , , , ,1,11,-26
568, , , , ,1,12,-26
569, , , , ,1,10,-26
570, , , , ,1,11,-25
571, , , , ,1,10,-27
572, , , , ,1,12,-24
573, , , , ,1,10,-27
574, , , , ,1,9,-28
575, , , , ,1,11,-31
576, , , , ,1,10,-32
577, , , , ,1,10,-33
578, , , , ,1,10,-33
579, , , , ,1,10,-31
580, , , , ,1,11,-32
581, , , , ,1,12,-28
582, , , , ,1,12,-28
583, , , , ,1,12,-29
584, , , , ,1,12,-27
585, , , , ,1,13,-27
586, , , , ,1,12,-27
587, , , , ,1,12,-28
588, , , , ,1,12,-27
589, , , , ,1,13,-26
590, , , , ,1,13,-26
591, , , , ,1,13,-28
592, , , , ,1,13,-28
593, , , , ,1,13,-28
594, , , , ,1,13,-26
595, , , , ,1,12,-27
596, , , , ,1,12,-29
597, , , , ,1,12,-27
598, , , , ,1,12,-29
599, , , , ,1,13,-28
600, , , , ,1,12,-27
601, , , , ,1,13,-28
602, , , , ,1,13,-28
603, , , , ,1,12,-27
604, , , , ,1,13,-26
605, , , , ,1,12,-24
606, , , , ,1,12,-26
607, , , , ,1,13,-26
608, , , , ,1,12,-26
609, , , , ,1,13,-26
610, , , , ,1,13,-26
611, , , , ,1,12,-28
612, , , , ,1,13,-25
613, , , , ,1,13,-25
614, , , , ,1,12,-27
615, , , , ,1,13,-28
616, , , , ,1,12,-27
617, , , , ,1,12,-26
618, , , , ,1,13,-27
619, , , , ,1,12,-28
620, , , , ,1,11,-28
621, , , , ,1,13,-27
622, , , , ,1,11,-29
623, , , , ,1,12,-27
624, , , , ,1,12,-28
625, , , , ,1,13,-27
626, , , , ,1,13,-27
627, , , , ,1,11,-28
628, , , , ,1,13,-27
629, , , , ,1,13,-28
630, , , , ,1,13,-27
631, , , , ,1,14,-26
632, , , , ,1,13,-27
633, , , , ,1,13,-28
634, , , , ,1,13,-26
635, , , , ,1,12,-27
636, , , , ,1,13,-28
637, , , ,46.13112807273865,1,13,-28
638, , , , ,1,12,-26
639, , , , ,1,12,-29
640, , , , ,1,11,-30
641, , , , ,1,12,-30
642, , , , ,1,12,-28
643, , , , ,1,13,-27
644, , , , ,1,11,-29
645, , , , ,1,11,-28
646, , , , ,1,12,-29
647, , , , ,1,13,-28
648, , , , ,1,12,-27
649, , , , ,1,11,-29
650, , , , ,1,12,-27
651, , , , ,1,11,-29
652, , , , ,1,11,-27
653, , , , ,1,12,-27
654, , , , ,1,12,-26
655, , , , ,1,11,-27
656, , , , ,1,11,-29
657, , , , ,1,11,-28
658, , , , ,1,11,-29
659, , , , ,1,12,-29
660, , , , ,1,12,-28
661, , , , ,1,12,-28
662, , , , ,1,11,-29
663, , , , ,1,11,-26
664, , , , ,1,8,-29
665, , , , ,1,9,-27
666, , , , ,1,7,-30
667, , , , ,1,5,-26
668, , , , ,1,3,-24
669, , , , ,1,6,-28
670, , , , ,1,6,-28
671, , , , ,1,9,-30
672, , , , ,1,7,-31
673, , , , ,1,6,-28
674, , , , ,1,5,-28
675, , , , ,1,6,-28
676, , , , ,1,5,-27
677, , , , ,1,5,-29
